DATE,INF,DP,DM,DC,DS,TS,DT,RF_daily,RF_monthly
2024-06-30,0.00462454661586205,0.018231246502153096,-0.000406573705440192,0.011862147739678813,-0.0033333333333334103,-4.3646666666666665,0.004666666666667041,0.0201233691237368,0.4234422313603936
2024-07-01,0.0046243327614256,0.018227923324516924,-0.0004065753584690764,0.011860740801095367,-0.0033333333333332993,-4.36,0.004666666666666153,0.02011833867092694,0.42333616592649115
2024-07-02,0.005812261785694295,-0.02329482050578101,0.009800271196371958,0.00497093329522121,0.010000000000000009,-4.355161290322581,0.004838709677419395,0.02010008246202677,0.42295124069471335
2024-07-03,0.005811923981470585,-0.0233002482568148,0.0097993108373283,0.004970686205698181,-1.1102230246251565e-16,-4.380322580645162,-0.025161290322580854,0.020081825416684573,0.42256629923247413
2024-07-04,0.005811586216478734,-0.023305678537820736,0.00979835066648419,0.004970439140798065,0.0,-4.360483870967742,0.019838709677419963,0.020063567534833737,0.4221813415383302
2024-07-05,0.00581124849076315,-0.023311111350498265,0.009797390683795228,0.004970192100387641,1.1102230246251565e-16,-4.340645161290323,0.019838709677419075,0.020045308816407648,0.4217963676108827
2024-07-06,0.005810910804301632,-0.023316546696680096,0.009796430889194813,0.00496994508460013,-0.0033333333333332993,-4.339139784946236,0.0015053763440864287,0.020027049261317487,0.4214113774486661
2024-07-07,0.005810573157094178,-0.02332198457813231,0.00979547128261634,0.004969698093324515,-0.0033333333333334103,-4.337634408602151,0.0015053763440855406,0.020008788869518845,0.4210263710502815
2024-07-08,0.0058102355490963825,-0.023327424996620983,0.009794511864015412,0.004969451126605202,-0.0033333333333332993,-4.336129032258064,0.0015053763440864287,0.019990527640878497,0.4206413484142857
2024-07-09,0.00580989798033045,-0.0233328679539122,0.00979355263332543,0.004969204184419989,0.010000000000000009,-4.321290322580645,0.014838709677419182,0.019972265575374237,0.4202563095392353
2024-07-10,0.005809560450818583,-0.02333831345182756,0.009792593590524193,0.004968957266813283,0.0,-4.316451612903226,0.004838709677419395,0.019954002672895044,0.4198712544237093
2024-07-11,0.00580922296047197,-0.023343761492055422,0.009791634735545103,0.00496871037369627,0.010000000000000009,-4.301612903225807,0.014838709677419182,0.019935738933374303,0.4194861830662644
2024-07-12,0.005808885509379424,-0.023349212076461803,0.009790676068299354,0.004968463505157764,-0.010000000000000009,-4.2867741935483865,0.01483870967742007,0.0199174743567454,0.41910109546547947
2024-07-13,0.0058085480974521325,-0.023354665206790574,0.009789717588764749,0.004968216661108952,0.0,-4.281935483870967,0.004838709677419395,0.019899208942919522,0.41871599161991124
2024-07-14,0.0058082107247567055,-0.023360120884841143,0.009788759296874689,0.004967969841594241,0.0,-4.277096774193548,0.004838709677419395,0.01988094269183005,0.41833087152813864
2024-07-15,0.005807873391226534,-0.023365579112390688,0.00978780119256257,0.0049677230466358335,0.0,-4.272258064516128,0.004838709677419395,0.019862675603365965,0.41794573518871836
2024-07-16,0.005807536096883821,-0.02337103989124972,0.009786843275806196,0.004967476276144918,-0.010000000000000009,-4.27741935483871,-0.00516129032258128,0.01984440767750506,0.4175605826002293
2024-07-17,0.005807198841728567,-0.023376503223151008,0.009785885546516764,0.0049672295302103054,0.0,-4.272580645161291,0.004838709677418507,0.019826138914136315,0.41717541376122824
2024-07-18,0.005806861625716366,-0.023381969109938373,0.009784928004672075,0.004966982808765388,0.020000000000000018,-4.2777419354838715,-0.005161290322580392,0.01980786931317091,0.416790228670294
2024-07-19,0.005806524448869422,-0.023387437553389002,0.009783970650183327,0.004966736111854572,0.0,-4.272903225806452,0.004838709677419395,0.01978959887456444,0.4164050273259612
2024-07-20,0.005806187311209939,-0.023392908555291195,0.009783013483006121,0.004966489439411249,-0.00666666666666671,-4.258064516129033,0.014838709677419182,0.019771327598228083,0.41601980972683084
2024-07-21,0.0058058502126491045,-0.023398382117466567,0.009782056503096057,0.004966242791502026,-0.006666666666666599,-4.243225806451613,0.01483870967742007,0.019753055484073023,0.4156345758714597
2024-07-22,0.005805513153253527,-0.023403858241658988,0.009781099710408737,0.0049659961680825,-0.00666666666666671,-4.228387096774194,0.014838709677419182,0.019734782532032646,0.41524932575840445
2024-07-23,0.005805176132978802,-0.02340933692971229,0.009780143104855355,0.004965749569130465,0.0,-4.2135483870967745,0.014838709677419182,0.019716508742018135,0.41486405938622184
2024-07-24,0.0058048391518693366,-0.023414818183414763,0.009779186686391512,0.004965502994690329,-1.1102230246251565e-16,-4.148709677419355,0.06483870967741989,0.01969823411398508,0.41447877675351297
2024-07-25,0.005804502209836317,-0.023420302004588025,0.00977823045497281,0.004965256444717687,1.1102230246251565e-16,-4.1738709677419354,-0.025161290322580854,0.019679958647800255,0.41409347785879014
2024-07-26,0.005804165306924151,-0.023425788394987067,0.009777274410554851,0.004965009919279146,0.009999999999999787,-4.1490322580645165,0.02483870967741897,0.01966168234346366,0.4137081627006767
2024-07-27,0.005803828443155042,-0.02343127735646681,0.009776318553071033,0.0049647634182636916,0.0,-4.140860215053763,0.00817204301075325,0.019643405200819863,0.4133228312776849
2024-07-28,0.005803491618417975,-0.023436768890826666,0.009775362882454751,0.004964516941760137,1.1102230246251565e-16,-4.132688172043011,0.008172043010752361,0.01962512721984666,0.41293748358841587
2024-07-29,0.005803154832823964,-0.023442262999832725,0.00977440739866161,0.00496427048967967,0.0,-4.1245161290322585,0.008172043010752361,0.01960684840043303,0.41255211963142635
2024-07-30,0.0058028180863064025,-0.023447759685351025,0.009773452101625007,0.004964024062111102,-1.1102230246251565e-16,-4.129677419354839,-0.005161290322580392,0.019588568742534562,0.41216673940527304
2024-07-31,0.005802481378887493,-0.023453258949192073,0.009772496991322745,0.004963777658987824,0.01000000000000012,-4.104838709677419,0.024838709677419857,0.019570288246040235,0.41178134290851265
2024-08-01,0.005802144710500627,-0.023458760793121973,0.009771542067666018,0.004963531280354245,-0.010000000000000009,-4.06,0.04483870967741943,0.019552006910883435,0.4113959301397019
2024-08-02,0.007393395708897342,-0.03512267238684952,0.011678236603110473,0.002577753366259801,0.0,-3.959354838709677,0.10064516129032253,0.019511785021109063,0.4105479647637189
2024-08-03,0.00739284912631704,-0.035135012742394514,0.01167687295025339,0.002577686919881151,0.010000000000000009,-3.9420430107526876,0.01731182795698949,0.019471559071027045,0.4096999206088192
2024-08-04,0.007392302624507606,-0.035147361772563744,0.011675509615841306,0.0025776204768774478,0.010000000000000009,-3.924731182795698,0.01731182795698949,0.01943132905983802,0.4088517976597039
2024-08-05,0.00739175620353565,-0.03515971948650078,0.011674146599718827,0.0025775540373153038,0.010000000000000009,-3.907419354838709,0.017311827956989045,0.01939109498669822,0.40800359590109636
2024-08-06,0.007391209863312364,-0.03517208589334918,0.011672783901819354,0.002577487601172514,-0.030000000000000027,-3.9367741935483864,-0.029354838709677367,0.019350856850808285,0.40715531531763105
2024-08-07,0.0073906636038599495,-0.03518446100233027,0.011671421521987491,0.0025774211684934864,0.010000000000000009,-3.9161290322580644,0.02064516129032201,0.019310614651324443,0.4063069558940313
2024-08-08,0.007390117425156205,-0.03519684482259874,0.011670059460178845,0.002577354739167202,0.0,-3.925483870967742,-0.009354838709677793,0.019270368387447334,0.4054585176149539
2024-08-09,0.007389571327134525,-0.0352092373633537,0.011668697716215816,0.0025772883133046796,0.0,-3.9248387096774193,0.000645161290322882,0.01923011805833319,0.40461000046507767
2024-08-10,0.007389025309839315,-0.03522163863384982,0.011667336290009609,0.0025772218909059204,-0.00666666666666671,-3.904193548387097,0.020645161290322456,0.019189863663160445,0.4037614044290816
2024-08-11,0.0073884793732483765,-0.035234048643264015,0.011665975181449226,0.002577155471859904,-0.006666666666666599,-3.883548387096774,0.0206451612903229,0.019149605201129738,0.4029127294916224
2024-08-12,0.007387933517295098,-0.03524646740085095,0.011664614390423673,0.0025770890562776495,-0.00666666666666671,-3.862903225806451,0.0206451612903229,0.019109342671375096,0.40206397563733454
